학번,학생명,비밀번호,신청 학점,잔여 신청 학점,신청 제한 학점
20000172,테스트172,12345,0,15,15
20000173,테스트173,12345,0,15,15
20000174,테스트174,12345,0,15,15
20000175,테스트175,12345,0,15,15
20000176,테스트176,12345,0,15,15
20000177,테스트177,12345,0,15,15
20000178,테스트178,12345,0,15,15
20000179,테스트179,12345,0,15,15
20000180,테스트180,12345,0,15,15
20000181,테스트181,12345,0,15,15
20000182,테스트182,12345,0,15,15
20000183,테스트183,12345,0,15,15
20000184,테스트184,12345,0,15,15
20000185,테스트185,12345,0,15,15
20000186,테스트186,12345,0,15,15
20000187,테스트187,12345,0,15,15
20000188,테스트188,12345,0,15,15
20000189,테스트189,12345,0,15,15
20000190,테스트190,12345,0,15,15
20000191,테스트191,12345,0,15,15
20000192,테스트192,12345,0,15,15
20000193,테스트193,12345,0,15,15
20000194,테스트194,12345,0,15,15
20000195,테스트195,12345,0,15,15
20000196,테스트196,12345,0,15,15
20000197,테스트197,12345,0,15,15
20000198,테스트198,12345,0,15,15
20000199,테스트199,12345,0,15,15
20000200,테스트200,12345,0,15,15
20000201,테스트201,12345,0,15,15
20000202,테스트202,12345,0,15,15
20000203,테스트203,12345,0,15,15
20000204,테스트204,12345,0,15,15
20000205,테스트205,12345,0,15,15
20000206,테스트206,12345,0,15,15
20000207,테스트207,12345,0,15,15
20000208,테스트208,12345,0,15,15
20000209,테스트209,12345,0,15,15
20000210,테스트210,12345,0,15,15
20000211,테스트211,12345,0,15,15
20000212,테스트212,12345,0,15,15
20000213,테스트213,12345,0,15,15
20000214,테스트214,12345,0,15,15
20000215,테스트215,12345,0,15,15
20000216,테스트216,12345,0,15,15
20000217,테스트217,12345,0,15,15
20000218,테스트218,12345,0,15,15
20000219,테스트219,12345,0,15,15
20000220,테스트220,12345,0,15,15
20000221,테스트221,12345,0,15,15
20000222,테스트222,12345,0,15,15
20000223,테스트223,12345,0,15,15
20000224,테스트224,12345,0,15,15
20000225,테스트225,12345,0,15,15
20000226,테스트226,12345,0,15,15
20000227,테스트227,12345,0,15,15
20000228,테스트228,12345,0,15,15
20000229,테스트229,12345,0,15,15
20000230,테스트230,12345,0,15,15
20000231,테스트231,12345,0,15,15
20000232,테스트232,12345,0,15,15
20000233,테스트233,12345,0,15,15
20000234,테스트234,12345,0,15,15
20000235,테스트235,12345,0,15,15
20000236,테스트236,12345,0,15,15
20000237,테스트237,12345,0,15,15
20000238,테스트238,12345,0,15,15
20000239,테스트239,12345,0,15,15
20000240,테스트240,12345,0,15,15
20000241,테스트241,12345,0,15,15
20000242,테스트242,12345,0,15,15
20000243,테스트243,12345,0,15,15
20000244,테스트244,12345,0,15,15
20000245,테스트245,12345,0,15,15
20000246,테스트246,12345,0,15,15
20000247,테스트247,12345,0,15,15
20000248,테스트248,12345,0,15,15
20000249,테스트249,12345,0,15,15
20000250,테스트250,12345,0,15,15
20000251,테스트251,12345,0,15,15
20000252,테스트252,12345,0,15,15
20000253,테스트253,12345,0,15,15
20000254,테스트254,12345,0,15,15
20000255,테스트255,12345,0,15,15
20000256,테스트256,12345,0,15,15
20000257,테스트257,12345,0,15,15
20000258,테스트258,12345,0,15,15
20000259,테스트259,12345,0,15,15
20000260,테스트260,12345,0,15,15
20000261,테스트261,12345,0,15,15
20000262,테스트262,12345,0,15,15
20000263,테스트263,12345,0,15,15
20000264,테스트264,12345,0,15,15
20000265,테스트265,12345,0,15,15
20000266,테스트266,12345,0,15,15
20000267,테스트267,12345,0,15,15
20000268,테스트268,12345,0,15,15
20000269,테스트269,12345,0,15,15
20000270,테스트270,12345,0,15,15
20000271,테스트271,12345,0,15,15
20000272,테스트272,12345,0,15,15
20000273,테스트273,12345,0,15,15
20000274,테스트274,12345,0,15,15
20000275,테스트275,12345,0,15,15
20000276,테스트276,12345,0,15,15
20000277,테스트277,12345,0,15,15
20000278,테스트278,12345,0,15,15
20000279,테스트279,12345,0,15,15
20000280,테스트280,12345,0,15,15
20000281,테스트281,12345,0,15,15
20000282,테스트282,12345,0,15,15
20000283,테스트283,12345,0,15,15
20000284,테스트284,12345,0,15,15
20000285,테스트285,12345,0,15,15
20000286,테스트286,12345,0,15,15
20000287,테스트287,12345,0,15,15
20000288,테스트288,12345,0,15,15
20000289,테스트289,12345,0,15,15
20000290,테스트290,12345,0,15,15
20000291,테스트291,12345,0,15,15
20000292,테스트292,12345,0,15,15
20000293,테스트293,12345,0,15,15
20000294,테스트294,12345,0,15,15
20000295,테스트295,12345,0,15,15
20000296,테스트296,12345,0,15,15
20000297,테스트297,12345,0,15,15
20000298,테스트298,12345,0,15,15
20000299,테스트299,12345,0,15,15
20000300,테스트300,12345,0,15,15
20000301,테스트301,12345,0,15,15
20000302,테스트302,12345,0,15,15
20000303,테스트303,12345,0,15,15
20000304,테스트304,12345,0,15,15
20000305,테스트305,12345,0,15,15
20000306,테스트306,12345,0,15,15
20000307,테스트307,12345,0,15,15
20000308,테스트308,12345,0,15,15
20000309,테스트309,12345,0,15,15
20000310,테스트310,12345,0,15,15
20000311,테스트311,12345,0,15,15
20000312,테스트312,12345,0,15,15
20000313,테스트313,12345,0,15,15
20000314,테스트314,12345,0,15,15
20000315,테스트315,12345,0,15,15
20000316,테스트316,12345,0,15,15
20000317,테스트317,12345,0,15,15
20000318,테스트318,12345,0,15,15
20000319,테스트319,12345,0,15,15
20000320,테스트320,12345,0,15,15
20000321,테스트321,12345,0,15,15
20000322,테스트322,12345,0,15,15
20000323,테스트323,12345,0,15,15
20000324,테스트324,12345,0,15,15
20000325,테스트325,12345,0,15,15
20000326,테스트326,12345,0,15,15
20000327,테스트327,12345,0,15,15
20000328,테스트328,12345,0,15,15
20000329,테스트329,12345,0,15,15
20000330,테스트330,12345,0,15,15
20000331,테스트331,12345,0,15,15
20000332,테스트332,12345,0,15,15
20000333,테스트333,12345,0,15,15
20000334,테스트334,12345,0,15,15
20000335,테스트335,12345,0,15,15
20000336,테스트336,12345,0,15,15
20000337,테스트337,12345,0,15,15
20000338,테스트338,12345,0,15,15
20000339,테스트339,12345,0,15,15
20000340,테스트340,12345,0,15,15
20000341,테스트341,12345,0,15,15
20000342,테스트342,12345,0,15,15
20000343,테스트343,12345,0,15,15
20000344,테스트344,12345,0,15,15
20000345,테스트345,12345,0,15,15
20000346,테스트346,12345,0,15,15
20000347,테스트347,12345,0,15,15
20000348,테스트348,12345,0,15,15
20000349,테스트349,12345,0,15,15
20000350,테스트350,12345,0,15,15
20000351,테스트351,12345,0,15,15
20000352,테스트352,12345,0,15,15
20000353,테스트353,12345,0,15,15
20000354,테스트354,12345,0,15,15
20000355,테스트355,12345,0,15,15
20000356,테스트356,12345,0,15,15
20000357,테스트357,12345,0,15,15
20000358,테스트358,12345,0,15,15
20000359,테스트359,12345,0,15,15
20000360,테스트360,12345,0,15,15
20000361,테스트361,12345,0,15,15
20000362,테스트362,12345,0,15,15
20000363,테스트363,12345,0,15,15
20000364,테스트364,12345,0,15,15
20000365,테스트365,12345,0,15,15
20000366,테스트366,12345,0,15,15
20000367,테스트367,12345,0,15,15
20000368,테스트368,12345,0,15,15
20000369,테스트369,12345,0,15,15
20000370,테스트370,12345,0,15,15
20000371,테스트371,12345,0,15,15
20000372,테스트372,12345,0,15,15
20000373,테스트373,12345,0,15,15
20000374,테스트374,12345,0,15,15
20000375,테스트375,12345,0,15,15
20000376,테스트376,12345,0,15,15
20000377,테스트377,12345,0,15,15
20000378,테스트378,12345,0,15,15
20000379,테스트379,12345,0,15,15
20000380,테스트380,12345,0,15,15
20000381,테스트381,12345,0,15,15
20000382,테스트382,12345,0,15,15
20000383,테스트383,12345,0,15,15
20000384,테스트384,12345,0,15,15
20000385,테스트385,12345,0,15,15
20000386,테스트386,12345,0,15,15
20000387,테스트387,12345,0,15,15
20000388,테스트388,12345,0,15,15
20000389,테스트389,12345,0,15,15
20000390,테스트390,12345,0,15,15
20000391,테스트391,12345,0,15,15
20000392,테스트392,12345,0,15,15
20000393,테스트393,12345,0,15,15
20000394,테스트394,12345,0,15,15
20000395,테스트395,12345,0,15,15
20000396,테스트396,12345,0,15,15
20000397,테스트397,12345,0,15,15
20000398,테스트398,12345,0,15,15
20000399,테스트399,12345,0,15,15
20000400,테스트400,12345,0,15,15
20000401,테스트401,12345,0,15,15
20000402,테스트402,12345,0,15,15
20000403,테스트403,12345,0,15,15
20000404,테스트404,12345,0,15,15
20000405,테스트405,12345,0,15,15
20000406,테스트406,12345,0,15,15
20000407,테스트407,12345,0,15,15
20000408,테스트408,12345,0,15,15
20000409,테스트409,12345,0,15,15
20000410,테스트410,12345,0,15,15
20000411,테스트411,12345,0,15,15
20000412,테스트412,12345,0,15,15
20000413,테스트413,12345,0,15,15
20000414,테스트414,12345,0,15,15
20000415,테스트415,12345,0,15,15
20000416,테스트416,12345,0,15,15
20000417,테스트417,12345,0,15,15
20000418,테스트418,12345,0,15,15
20000419,테스트419,12345,0,15,15
20000420,테스트420,12345,0,15,15
20000421,테스트421,12345,0,15,15
20000422,테스트422,12345,0,15,15
20000423,테스트423,12345,0,15,15
20000424,테스트424,12345,0,15,15
20000425,테스트425,12345,0,15,15
20000426,테스트426,12345,0,15,15
20000427,테스트427,12345,0,15,15
20000428,테스트428,12345,0,15,15
20000429,테스트429,12345,0,15,15
20000430,테스트430,12345,0,15,15
20000431,테스트431,12345,0,15,15
20000432,테스트432,12345,0,15,15
20000433,테스트433,12345,0,15,15
20000434,테스트434,12345,0,15,15
20000435,테스트435,12345,0,15,15
20000436,테스트436,12345,0,15,15
20000437,테스트437,12345,0,15,15
20000438,테스트438,12345,0,15,15
20000439,테스트439,12345,0,15,15
20000440,테스트440,12345,0,15,15
20000441,테스트441,12345,0,15,15
20000442,테스트442,12345,0,15,15
20000443,테스트443,12345,0,15,15
20000444,테스트444,12345,0,15,15
20000445,테스트445,12345,0,15,15
20000446,테스트446,12345,0,15,15
20000447,테스트447,12345,0,15,15
20000448,테스트448,12345,0,15,15
20000449,테스트449,12345,0,15,15
20000450,테스트450,12345,0,15,15
20000451,테스트451,12345,0,15,15
20000452,테스트452,12345,0,15,15
20000453,테스트453,12345,0,15,15
20000454,테스트454,12345,0,15,15
20000455,테스트455,12345,0,15,15
20000456,테스트456,12345,0,15,15
20000457,테스트457,12345,0,15,15
20000458,테스트458,12345,0,15,15
20000459,테스트459,12345,0,15,15
20000460,테스트460,12345,0,15,15
20000461,테스트461,12345,0,15,15
20000462,테스트462,12345,0,15,15
20000463,테스트463,12345,0,15,15
20000464,테스트464,12345,0,15,15
20000465,테스트465,12345,0,15,15
20000466,테스트466,12345,0,15,15
20000467,테스트467,12345,0,15,15
20000468,테스트468,12345,0,15,15
20000469,테스트469,12345,0,15,15
20000470,테스트470,12345,0,15,15
20000471,테스트471,12345,0,15,15
20000472,테스트472,12345,0,15,15
20000473,테스트473,12345,0,15,15
20000474,테스트474,12345,0,15,15
20000475,테스트475,12345,0,15,15
20000476,테스트476,12345,0,15,15
20000477,테스트477,12345,0,15,15
20000478,테스트478,12345,0,15,15
20000479,테스트479,12345,0,15,15
20000480,테스트480,12345,0,15,15
20000481,테스트481,12345,0,15,15
20000482,테스트482,12345,0,15,15
20000483,테스트483,12345,0,15,15
20000484,테스트484,12345,0,15,15
20000485,테스트485,12345,0,15,15
20000486,테스트486,12345,0,15,15
20000487,테스트487,12345,0,15,15
20000488,테스트488,12345,0,15,15
20000489,테스트489,12345,0,15,15
20000490,테스트490,12345,0,15,15
20000491,테스트491,12345,0,15,15
20000492,테스트492,12345,0,15,15
20000493,테스트493,12345,0,15,15
20000494,테스트494,12345,0,15,15
20000495,테스트495,12345,0,15,15
20000496,테스트496,12345,0,15,15
20000497,테스트497,12345,0,15,15
20000498,테스트498,12345,0,15,15
20000499,테스트499,12345,0,15,15
20000500,테스트500,12345,0,15,15
20000501,테스트501,12345,0,15,15
20000502,테스트502,12345,0,15,15
20000503,테스트503,12345,0,15,15
20000504,테스트504,12345,0,15,15
20000505,테스트505,12345,0,15,15
20000506,테스트506,12345,0,15,15
20000507,테스트507,12345,0,15,15
20000508,테스트508,12345,0,15,15
20000509,테스트509,12345,0,15,15
20000510,테스트510,12345,0,15,15
20000511,테스트511,12345,0,15,15
20000512,테스트512,12345,0,15,15
20000513,테스트513,12345,0,15,15
20000514,테스트514,12345,0,15,15
20000515,테스트515,12345,0,15,15
20000516,테스트516,12345,0,15,15
20000517,테스트517,12345,0,15,15
20000518,테스트518,12345,0,15,15
20000519,테스트519,12345,0,15,15
20000520,테스트520,12345,0,15,15
20000521,테스트521,12345,0,15,15
20000522,테스트522,12345,0,15,15
20000523,테스트523,12345,0,15,15
20000524,테스트524,12345,0,15,15
20000525,테스트525,12345,0,15,15
20000526,테스트526,12345,0,15,15
20000527,테스트527,12345,0,15,15
20000528,테스트528,12345,0,15,15
20000529,테스트529,12345,0,15,15
20000530,테스트530,12345,0,15,15
20000531,테스트531,12345,0,15,15
20000532,테스트532,12345,0,15,15
20000533,테스트533,12345,0,15,15
20000534,테스트534,12345,0,15,15
20000535,테스트535,12345,0,15,15
20000536,테스트536,12345,0,15,15
20000537,테스트537,12345,0,15,15
20000538,테스트538,12345,0,15,15
20000539,테스트539,12345,0,15,15
20000540,테스트540,12345,0,15,15
20000541,테스트541,12345,0,15,15
20000542,테스트542,12345,0,15,15
20000543,테스트543,12345,0,15,15
20000544,테스트544,12345,0,15,15
20000545,테스트545,12345,0,15,15
20000546,테스트546,12345,0,15,15
20000547,테스트547,12345,0,15,15
20000548,테스트548,12345,0,15,15
20000549,테스트549,12345,0,15,15
20000550,테스트550,12345,0,15,15
20000551,테스트551,12345,0,15,15
20000552,테스트552,12345,0,15,15
20000553,테스트553,12345,0,15,15
20000554,테스트554,12345,0,15,15
20000555,테스트555,12345,0,15,15
20000556,테스트556,12345,0,15,15
20000557,테스트557,12345,0,15,15
20000558,테스트558,12345,0,15,15
20000559,테스트559,12345,0,15,15
20000560,테스트560,12345,0,15,15
20000561,테스트561,12345,0,15,15
20000562,테스트562,12345,0,15,15
20000563,테스트563,12345,0,15,15
20000564,테스트564,12345,0,15,15
20000565,테스트565,12345,0,15,15
20000566,테스트566,12345,0,15,15
20000567,테스트567,12345,0,15,15
20000568,테스트568,12345,0,15,15
20000569,테스트569,12345,0,15,15
20000570,테스트570,12345,0,15,15
20000571,테스트571,12345,0,15,15
20000572,테스트572,12345,0,15,15
20000573,테스트573,12345,0,15,15
20000574,테스트574,12345,0,15,15
20000575,테스트575,12345,0,15,15
20000576,테스트576,12345,0,15,15
20000577,테스트577,12345,0,15,15
20000578,테스트578,12345,0,15,15
20000579,테스트579,12345,0,15,15
20000580,테스트580,12345,0,15,15
20000581,테스트581,12345,0,15,15
20000582,테스트582,12345,0,15,15
20000583,테스트583,12345,0,15,15
20000584,테스트584,12345,0,15,15
20000585,테스트585,12345,0,15,15
20000586,테스트586,12345,0,15,15
20000587,테스트587,12345,0,15,15
20000588,테스트588,12345,0,15,15
20000589,테스트589,12345,0,15,15
20000590,테스트590,12345,0,15,15
20000591,테스트591,12345,0,15,15
20000592,테스트592,12345,0,15,15
20000593,테스트593,12345,0,15,15
20000594,테스트594,12345,0,15,15
20000595,테스트595,12345,0,15,15
20000596,테스트596,12345,0,15,15
20000597,테스트597,12345,0,15,15
20000598,테스트598,12345,0,15,15
20000599,테스트599,12345,0,15,15
20000600,테스트600,12345,0,15,15
20000601,테스트601,12345,0,15,15
20000602,테스트602,12345,0,15,15
20000603,테스트603,12345,0,15,15
20000604,테스트604,12345,0,15,15
20000605,테스트605,12345,0,15,15
20000606,테스트606,12345,0,15,15
20000607,테스트607,12345,0,15,15
20000608,테스트608,12345,0,15,15
20000609,테스트609,12345,0,15,15
20000610,테스트610,12345,0,15,15
20000611,테스트611,12345,0,15,15
20000612,테스트612,12345,0,15,15
20000613,테스트613,12345,0,15,15
20000614,테스트614,12345,0,15,15
20000615,테스트615,12345,0,15,15
20000616,테스트616,12345,0,15,15
20000617,테스트617,12345,0,15,15
20000618,테스트618,12345,0,15,15
20000619,테스트619,12345,0,15,15
20000620,테스트620,12345,0,15,15
20000621,테스트621,12345,0,15,15
20000622,테스트622,12345,0,15,15
20000623,테스트623,12345,0,15,15
20000624,테스트624,12345,0,15,15
20000625,테스트625,12345,0,15,15
20000626,테스트626,12345,0,15,15
20000627,테스트627,12345,0,15,15
20000628,테스트628,12345,0,15,15
20000629,테스트629,12345,0,15,15
20000630,테스트630,12345,0,15,15
20000631,테스트631,12345,0,15,15
20000632,테스트632,12345,0,15,15
20000633,테스트633,12345,0,15,15
20000634,테스트634,12345,0,15,15
20000635,테스트635,12345,0,15,15
20000636,테스트636,12345,0,15,15
20000637,테스트637,12345,0,15,15
20000638,테스트638,12345,0,15,15
20000639,테스트639,12345,0,15,15
20000640,테스트640,12345,0,15,15
20000641,테스트641,12345,0,15,15
20000642,테스트642,12345,0,15,15
20000643,테스트643,12345,0,15,15
20000644,테스트644,12345,0,15,15
20000645,테스트645,12345,0,15,15
20000646,테스트646,12345,0,15,15
20000647,테스트647,12345,0,15,15
20000648,테스트648,12345,0,15,15
20000649,테스트649,12345,0,15,15
20000650,테스트650,12345,0,15,15
20000651,테스트651,12345,0,15,15
20000652,테스트652,12345,0,15,15
20000653,테스트653,12345,0,15,15
20000654,테스트654,12345,0,15,15
20000655,테스트655,12345,0,15,15
20000656,테스트656,12345,0,15,15
20000657,테스트657,12345,0,15,15
20000658,테스트658,12345,0,15,15
20000659,테스트659,12345,0,15,15
20000660,테스트660,12345,0,15,15
20000661,테스트661,12345,0,15,15
20000662,테스트662,12345,0,15,15
20000663,테스트663,12345,0,15,15
20000664,테스트664,12345,0,15,15
20000665,테스트665,12345,0,15,15
20000666,테스트666,12345,0,15,15
20000667,테스트667,12345,0,15,15
20000668,테스트668,12345,0,15,15
20000669,테스트669,12345,0,15,15
20000670,테스트670,12345,0,15,15
20000671,테스트671,12345,0,15,15
20000672,테스트672,12345,0,15,15
20000673,테스트673,12345,0,15,15
20000674,테스트674,12345,0,15,15
20000675,테스트675,12345,0,15,15
20000676,테스트676,12345,0,15,15
20000677,테스트677,12345,0,15,15
20000678,테스트678,12345,0,15,15
20000679,테스트679,12345,0,15,15
20000680,테스트680,12345,0,15,15
20000681,테스트681,12345,0,15,15
20000682,테스트682,12345,0,15,15
20000683,테스트683,12345,0,15,15
20000684,테스트684,12345,0,15,15
20000685,테스트685,12345,0,15,15
20000686,테스트686,12345,0,15,15
20000687,테스트687,12345,0,15,15
20000688,테스트688,12345,0,15,15
20000689,테스트689,12345,0,15,15
20000690,테스트690,12345,0,15,15
20000691,테스트691,12345,0,15,15
20000692,테스트692,12345,0,15,15
20000693,테스트693,12345,0,15,15
20000694,테스트694,12345,0,15,15
20000695,테스트695,12345,0,15,15
20000696,테스트696,12345,0,15,15
20000697,테스트697,12345,0,15,15
20000698,테스트698,12345,0,15,15
20000699,테스트699,12345,0,15,15
20000700,테스트700,12345,0,15,15
20000701,테스트701,12345,0,15,15
20000702,테스트702,12345,0,15,15
20000703,테스트703,12345,0,15,15
20000704,테스트704,12345,0,15,15
20000705,테스트705,12345,0,15,15
20000706,테스트706,12345,0,15,15
20000707,테스트707,12345,0,15,15
20000708,테스트708,12345,0,15,15
20000709,테스트709,12345,0,15,15
20000710,테스트710,12345,0,15,15
20000711,테스트711,12345,0,15,15
20000712,테스트712,12345,0,15,15
20000713,테스트713,12345,0,15,15
20000714,테스트714,12345,0,15,15
20000715,테스트715,12345,0,15,15
20000716,테스트716,12345,0,15,15
20000717,테스트717,12345,0,15,15
20000718,테스트718,12345,0,15,15
20000719,테스트719,12345,0,15,15
20000720,테스트720,12345,0,15,15
20000721,테스트721,12345,0,15,15
20000722,테스트722,12345,0,15,15
20000723,테스트723,12345,0,15,15
20000724,테스트724,12345,0,15,15
20000725,테스트725,12345,0,15,15
20000726,테스트726,12345,0,15,15
20000727,테스트727,12345,0,15,15
20000728,테스트728,12345,0,15,15
20000729,테스트729,12345,0,15,15
20000730,테스트730,12345,0,15,15
20000731,테스트731,12345,0,15,15
20000732,테스트732,12345,0,15,15
20000733,테스트733,12345,0,15,15
20000734,테스트734,12345,0,15,15
20000735,테스트735,12345,0,15,15
20000736,테스트736,12345,0,15,15
20000737,테스트737,12345,0,15,15
20000738,테스트738,12345,0,15,15
20000739,테스트739,12345,0,15,15
20000740,테스트740,12345,0,15,15
20000741,테스트741,12345,0,15,15
20000742,테스트742,12345,0,15,15
20000743,테스트743,12345,0,15,15
20000744,테스트744,12345,0,15,15
20000745,테스트745,12345,0,15,15
20000746,테스트746,12345,0,15,15
20000747,테스트747,12345,0,15,15
20000748,테스트748,12345,0,15,15
20000749,테스트749,12345,0,15,15
20000750,테스트750,12345,0,15,15
20000751,테스트751,12345,0,15,15
20000752,테스트752,12345,0,15,15
20000753,테스트753,12345,0,15,15
20000754,테스트754,12345,0,15,15
20000755,테스트755,12345,0,15,15
20000756,테스트756,12345,0,15,15
20000757,테스트757,12345,0,15,15
20000758,테스트758,12345,0,15,15
20000759,테스트759,12345,0,15,15
20000760,테스트760,12345,0,15,15
20000761,테스트761,12345,0,15,15
20000762,테스트762,12345,0,15,15
20000763,테스트763,12345,0,15,15
20000764,테스트764,12345,0,15,15
20000765,테스트765,12345,0,15,15
20000766,테스트766,12345,0,15,15
20000767,테스트767,12345,0,15,15
20000768,테스트768,12345,0,15,15
20000769,테스트769,12345,0,15,15
20000770,테스트770,12345,0,15,15
20000771,테스트771,12345,0,15,15
20000772,테스트772,12345,0,15,15
